"Sample","Spore_rep","R","G","B","Y","PDI","Temp","Taxon"
"L300",51,179,166,106,200.007388313227,21.5657300732443,300,"Lycopodium"
"L300",52,187,164,111,202.299054965532,20.6670372684188,300,"Lycopodium"
"L300",53,196,168,142,212.663937570013,16.6023774235243,300,"Lycopodium"
"L300",54,177,166,105,199.112801949591,21.9165482550625,300,"Lycopodium"
"L275",1,184,178,107,210.845657142857,17.3154285714286,275,"Lycopodium"
"L275",2,182,165,127,203.400992857143,20.2349047619048,275,"Lycopodium"
"L275",3,185,177,117,211.806096428571,16.9387857142857,275,"Lycopodium"
"L275",4,186,164,126,204.083907142857,19.9670952380952,275,"Lycopodium"
"L275",5,179,162,93,195.726160714286,23.2446428571429,275,"Lycopodium"
"L275",6,181,155,105,193.049510714286,24.2943095238095,275,"Lycopodium"
"L275",7,177,165,103,198.394067857143,22.1984047619048,275,"Lycopodium"
"L275",8,183,167,92,200.685789285714,21.2996904761905,275,"Lycopodium"
"L275",9,185,176,120,211.480910714286,17.0663095238095,275,"Lycopodium"
"L275",10,183,166,130,204.882603571428,19.653880952381,275,"Lycopodium"
"L275",11,183,173,129,209.742903571429,17.747880952381,275,"Lycopodium"
"L275",12,184,163,126,202.608671428571,20.545619047619,275,"Lycopodium"
"L275",13,175,167,124,201.770389285714,20.8743571428571,275,"Lycopodium"
"L275",14,184,170,122,207.081371428571,18.791619047619,275,"Lycopodium"
"L275",15,174,164,117,198.346407142857,22.2170952380952,275,"Lycopodium"
"L275",16,178,171,132,206.798807142857,18.9024285714286,275,"Lycopodium"
"L275",17,183,168,112,203.982575,20.0068333333333,275,"Lycopodium"
"L275",18,191,162,139,206.244060714286,19.1199761904762,275,"Lycopodium"
"L275",19,178,165,128,202.005292857143,20.7822380952381,275,"Lycopodium"
"L275",20,185,174,110,208.763339285714,18.1320238095238,275,"Lycopodium"
"L275",21,166,173,104,200.032078571429,21.5560476190476,275,"Lycopodium"
"L275",22,177,159,92,192.696153571429,24.4328809523809,275,"Lycopodium"
"L275",23,171,164,91,193.843532142857,23.9829285714286,275,"Lycopodium"
"L275",24,186,162,97,198.911535714286,21.9954761904762,275,"Lycopodium"
"L275",25,178,164,138,202.584507142857,20.5550952380952,275,"Lycopodium"
"L275",26,165,176,85,199.334410714286,21.8296428571429,275,"Lycopodium"
"L275",27,174,171,105,201.785507142857,20.8684285714286,275,"Lycopodium"
"L275",28,177,157,77,189.332582142857,25.7519285714286,275,"Lycopodium"
"L275",29,172,165,92,195.066742857143,23.5032380952381,275,"Lycopodium"
"L275",30,169,163,106,194.306296428571,23.8014523809524,275,"Lycopodium"
"L275",31,181,171,112,205.358482142857,19.4672619047619,275,"Lycopodium"
"L275",32,170,168,121,200.18945,21.4943333333333,275,"Lycopodium"
"L275",33,176,167,121,201.764014285714,20.8768571428572,275,"Lycopodium"
"L275",34,182,168,133,206.31455,19.0923333333333,275,"Lycopodium"
"L275",35,181,170,127,206.583696428571,18.9867857142857,275,"Lycopodium"
"L275",36,175,183,123,213.045760714286,16.4526428571429,275,"Lycopodium"
"L275",37,183,167,120,204.303389285714,19.8810238095238,275,"Lycopodium"
"L275",38,186,167,113,204.542664285714,19.7871904761905,275,"Lycopodium"
"L275",39,180,165,119,201.604942857143,20.9392380952381,275,"Lycopodium"
"L275",40,168,181,130,209.856014285714,17.7035238095238,275,"Lycopodium"
"L275",41,181,177,119,210.539596428571,17.4354523809524,275,"Lycopodium"
"L275",42,184,178,130,213.817257142857,16.1500952380953,275,"Lycopodium"
"L275",43,177,162,120,198.452110714286,22.1756428571429,275,"Lycopodium"
"L275",44,171,163,116,196.360746428571,22.9957857142857,275,"Lycopodium"
"L275",45,168,160,105,191.657514285714,24.8401904761905,275,"Lycopodium"
"L275",46,173,158,108,192.525667857143,24.4997380952381,275,"Lycopodium"
"L275",47,165,164,91,191.556182142857,24.8799285714286,275,"Lycopodium"
"L275",48,183,155,106,193.941160714286,23.9446428571429,275,"Lycopodium"
"L275",49,167,160,95,189.984289285714,25.4963571428571,275,"Lycopodium"
"L275",50,186,173,113,208.819378571429,18.1100476190476,275,"Lycopodium"
"L275",51,177,176,108,206.880710714286,18.8703095238095,275,"Lycopodium"
"L275",52,183,177,114,210.656046428571,17.3897857142857,275,"Lycopodium"
"L275",53,179,168,85,198.969275,21.9728333333333,275,"Lycopodium"
"L275",54,173,160,85,190.979639285714,25.1060238095238,275,"Lycopodium"
"L275",55,187,163,73,196.904746428571,22.7824523809524,275,"Lycopodium"
"L275",56,190,178,140,217.396607142857,14.7464285714286,275,"Lycopodium"
"L275",57,183,178,141,214.857232142857,15.7422619047619,275,"Lycopodium"
"L275",58,176,163,104,196.716471428572,22.8562857142857,275,"Lycopodium"
"L275",59,168,162,91,191.274285714286,24.9904761904762,275,"Lycopodium"
"L275",60,173,167,100,197.907139285714,22.3893571428572,275,"Lycopodium"
"L275",61,167,158,78,186.362317857143,26.9167380952381,275,"Lycopodium"
"L275",62,177,177,111,207.981096428571,18.4387857142857,275,"Lycopodium"
"L275",63,182,177,132,212.600421428571,16.6272857142857,275,"Lycopodium"
"L275",64,182,173,104,206.131678571428,19.1640476190476,275,"Lycopodium"
"L275",65,185,172,106,206.820967857143,18.8937380952381,275,"Lycopodium"
"L275",66,175,175,92,203.338275,20.2595,275,"Lycopodium"
"L275",67,177,161,118,197.480925,22.5565,275,"Lycopodium"
"L275",68,180,172,140,209.307642857143,17.9185714285714,275,"Lycopodium"
"L275",69,186,175,120,211.14935,17.1963333333333,275,"Lycopodium"
"L275",70,183,169,93,202.240560714286,20.6899761904762,275,"Lycopodium"
"L275",71,183,165,96,199.777017857143,21.6560714285714,275,"Lycopodium"
"L275",72,191,165,99,203.214417857143,20.3080714285714,275,"Lycopodium"
"L275",73,184,167,95,201.454614285714,20.9981904761905,275,"Lycopodium"
"L275",74,181,167,85,199.018939285714,21.9533571428571,275,"Lycopodium"
"L275",75,175,166,87,196.277203571428,23.0285476190476,275,"Lycopodium"
"L275",76,180,179,115,211.067142857143,17.2285714285714,275,"Lycopodium"
"L275",77,171,164,95,194.360332142857,23.7802619047619,275,"Lycopodium"
"L275",78,169,173,113,202.338553571428,20.6515476190476,275,"Lycopodium"
"L275",79,182,167,119,203.792964285714,20.0811904761905,275,"Lycopodium"
"L275",80,182,175,120,209.62445,17.7943333333333,275,"Lycopodium"
"L275",81,182,175,121,209.75365,17.7436666666667,275,"Lycopodium"
"L250",1,193,182,142,207.469284597236,18.6394962363779,250,"Lycopodium"
"L250",2,187,185,132,206.073404111898,19.1869003482755,250,"Lycopodium"
"L250",3,197,188,154,214.396091877317,15.9231012245815,250,"Lycopodium"
"L250",4,188,190,137,210.386321873947,17.4955600494327,250,"Lycopodium"
"L250",5,201,202,171,227.27698901247,10.8717690147174,250,"Lycopodium"
"L250",6,192,202,155,222.063076980115,12.9164403999551,250,"Lycopodium"
"L250",7,196,199,169,223.255266868891,12.448914953376,250,"Lycopodium"
"L250",8,195,191,152,215.429853454668,15.5177045275812,250,"Lycopodium"
"L250",9,195,196,132,216.228360701045,15.2045644309628,250,"Lycopodium"
"L250",10,181,176,139,198.842975800472,22.0223624311875,250,"Lycopodium"
"L250",11,187,185,143,207.463708459724,18.6416829569711,250,"Lycopodium"
"L250",12,188,187,116,205.736304482642,19.3190962813167,250,"Lycopodium"
"L250",13,189,176,124,199.784129491068,21.6532825525222,250,"Lycopodium"
"L250",14,174,166,116,186.800913784968,26.7447396921694,250,"Lycopodium"
"L250",15,181,178,130,199.035987394675,21.9466716099315,250,"Lycopodium"
"L250",16,177,184,117,199.965988810246,21.5819651724525,250,"Lycopodium"
"L250",17,181,180,132,200.619303336704,21.3257633973711,250,"Lycopodium"
"L250",18,188,182,126,203.673884192787,20.1278885518481,250,"Lycopodium"
"L250",19,184,180,107,198.523404448938,22.1476845298281,250,"Lycopodium"
"L250",20,184,176,127,198.390163869228,22.1999357375576,250,"Lycopodium"
"L250",21,187,172,135,197.804111358274,22.4297602516571,250,"Lycopodium"
"L250",22,186,179,125,200.842437074486,21.2382599707898,250,"Lycopodium"
"L250",23,196,172,138,201.374936434108,21.0294366925065,250,"Lycopodium"
"L250",24,191,176,157,204.6642983485,19.7394908437254,250,"Lycopodium"
"L250",25,182,180,149,203.122583417593,20.344084934277,250,"Lycopodium"
"L250",26,175,181,134,199.409585170206,21.8001626783508,250,"Lycopodium"
"L250",27,183,184,137,204.621582339063,19.7562422199753,250,"Lycopodium"
"L250",28,187,175,128,198.91517222784,21.9940501067296,250,"Lycopodium"
"L250",29,193,177,151,205.280473003033,19.4978537243006,250,"Lycopodium"
"L250",30,199,172,124,200.669341894169,21.3061404336591,250,"Lycopodium"
"L250",31,185,174,132,198.046214964611,22.334817660937,250,"Lycopodium"
"L250",32,182,179,141,201.446186316144,21.0014955622964,250,"Lycopodium"
"L250",33,186,177,142,201.660555915066,20.9174290529154,250,"Lycopodium"
"L250",34,180,172,116,192.920281226829,24.3449877541849,250,"Lycopodium"
"L250",35,185,184,131,204.57249032693,19.7754939894394,250,"Lycopodium"
"L250",36,174,183,114,197.857664509606,22.4087590158409,250,"Lycopodium"
"L250",37,177,169,125,190.998119245029,25.0987767666555,250,"Lycopodium"
"L250",38,182,168,117,191.094861678463,25.0608385574655,250,"Lycopodium"
"L250",39,175,177,121,195.105431547017,23.4880660599933,250,"Lycopodium"
"L250",40,180,178,131,198.807750792046,22.036176159982,250,"Lycopodium"
"L250",41,186,174,114,196.125799393327,23.0879218065386,250,"Lycopodium"
"L250",42,185,178,152,203.235107718234,20.2999577575553,250,"Lycopodium"
"L250",43,187,187,139,208.288676575666,18.3181660487586,250,"Lycopodium"
"L250",44,188,186,148,209.115559555106,17.9938982136839,250,"Lycopodium"
"L250",45,187,180,154,205.527679474216,19.4009100101112,250,"Lycopodium"
"L225",1,186,181,143,217.866644518272,14.5621001889128,225,"Lycopodium"
"L225",2,188,177,135,214.681327242525,15.8112442186177,225,"Lycopodium"
"L225",3,182,179,141,214.67565448505,15.8134688293922,225,"Lycopodium"
"L225",4,190,174,141,214.101725913621,16.0385388574034,225,"Lycopodium"
"L225",5,190,186,165,225.900177740864,11.4116950035828,225,"Lycopodium"
"L225",6,181,183,143,217.423465946844,14.7358957071201,225,"Lycopodium"
"L225",7,185,193,159,228.20967192691,10.5060110090548,225,"Lycopodium"
"L225",8,190,190,147,226.317553156146,11.2480183701388,225,"Lycopodium"
"L225",9,184,175,135,211.760755813953,16.9565663474692,225,"Lycopodium"
"L225",10,191,186,149,224.110578903654,12.1134984691551,225,"Lycopodium"
"L225",11,191,191,159,229.026600498339,10.1856468633965,225,"Lycopodium"
"L225",12,184,191,135,223.165327242525,12.4841853950883,225,"Lycopodium"
"L225",13,186,189,147,224.10976744186,12.1138166894665,225,"Lycopodium"
"L225",14,192,181,160,222.407702657807,12.7812930753697,225,"Lycopodium"
"L225",15,180,173,93,203.161393687708,20.3288652205068,225,"Lycopodium"
"L225",16,185,183,145,219.188884551495,14.0435746856882,225,"Lycopodium"
"L225",17,185,179,140,215.661695182724,15.4267862028533,225,"Lycopodium"
"L225",18,185,180,146,217.185736710964,14.8291228584457,225,"Lycopodium"
"L225",19,181,174,142,210.873185215947,17.3046332486483,225,"Lycopodium"
"L225",20,180,176,135,210.978541528239,17.2633170477493,225,"Lycopodium"
"L225",21,179,168,109,201.387063953488,21.0246808025536,225,"Lycopodium"
"L225",22,195,179,142,219.669613787375,13.8550534167155,225,"Lycopodium"
"L225",23,193,181,139,219.94205730897,13.7482128200117,225,"Lycopodium"
"L225",24,178,173,106,204.17161461794,19.9327001498274,225,"Lycopodium"
"L225",25,195,185,137,223.270281561462,12.4430268386424,225,"Lycopodium"
"L225",26,173,180,118,208.914876245847,18.0725975506482,225,"Lycopodium"
"L225",27,184,179,131,214.071061461794,16.0505641326298,225,"Lycopodium"
"L225",28,184,180,154,217.893661129568,14.551505439385,225,"Lycopodium"
"L225",29,189,184,144,221.261460963455,13.2307996221745,225,"Lycopodium"
"L225",30,183,188,139,221.19405730897,13.2572324278549,225,"Lycopodium"
"L225",31,193,170,123,209.938065614618,17.6713468177969,225,"Lycopodium"
"L225",32,187,180,137,216.716352990033,15.0131949058693,225,"Lycopodium"
"L225",33,181,186,129,217.668892857143,14.639649859944,225,"Lycopodium"
"L225",34,196,171,127,212.312938538206,16.7400241026643,225,"Lycopodium"
"L225",35,189,184,141,220.855833056478,13.3898693896163,225,"Lycopodium"
"L225",36,196,177,141,218.482583056478,14.3205556641261,225,"Lycopodium"
"L225",37,181,185,135,217.767362956811,14.601034134584,225,"Lycopodium"
"L225",38,191,180,132,217.535306478405,14.6920366751352,225,"Lycopodium"
"L225",39,192,178,156,219.728508305648,13.8319575271969,225,"Lycopodium"
"L225",40,181,177,135,212.065077242525,16.8372246107745,225,"Lycopodium"
"L225",41,182,171,111,204.917089700997,19.6403569800013,225,"Lycopodium"
"L225",42,185,190,155,225.530477574751,11.556675460882,225,"Lycopodium"
"L225",43,187,179,139,216.273985880399,15.1866722037652,225,"Lycopodium"
"L225",44,195,187,155,227.129620431894,10.9295606149437,225,"Lycopodium"
"L225",45,185,180,125,214.346341362126,15.9426112305387,225,"Lycopodium"
"L225",46,190,190,140,225.371088039867,11.6191811608364,225,"Lycopodium"
"L175",1,188,183,159,221.532634859579,13.1244569178123,175,"Lycopodium"
"L175",2,192,186,165,225.960950436497,11.3878625739228,175,"Lycopodium"
"L175",3,185,188,175,226.039138206907,11.3572007031737,175,"Lycopodium"
"L175",4,196,190,185,232.945236425079,8.64892689212598,175,"Lycopodium"
"L175",5,177,179,155,214.007232181716,16.0755952228566,175,"Lycopodium"
"L175",6,188,189,163,226.297548238652,11.2558634358226,175,"Lycopodium"
"L175",7,177,192,172,225.432347533345,11.5951578300607,175,"Lycopodium"
"L175",8,198,193,173,234.236440740124,8.14257225877473,175,"Lycopodium"
"L175",9,185,178,176,219.110661362996,14.0742504458838,175,"Lycopodium"
"L175",10,168,180,163,212.356429187681,16.7229689460075,175,"Lycopodium"
"L175",11,184,185,161,221.691716795525,13.0620718448922,175,"Lycopodium"
"L175",12,180,185,165,220.702948817235,13.4498239932413,175,"Lycopodium"
"L175",13,186,181,162,219.75826459256,13.8202883950744,175,"Lycopodium"
"L175",14,186,191,180,229.197332345562,10.1186931978188,175,"Lycopodium"
"L175",15,188,195,146,228.287597981362,10.4754517720147,175,"Lycopodium"
"L175",16,187,195,152,228.701087804972,10.3132989000111,175,"Lycopodium"
"L175",17,183,191,157,225.020210907299,11.7567800363534,175,"Lycopodium"
"L175",18,189,178,155,217.853111159469,14.5674073884437,175,"Lycopodium"
"L175",19,188,179,141,216.329935031105,15.1647313603509,175,"Lycopodium"
"L175",20,186,184,141,219.101584918461,14.0778098358977,175,"Lycopodium"
"L175",21,188,185,160,223.076893864724,12.5188651510885,175,"Lycopodium"
"L175",22,177,177,164,213.784336812934,16.1630051713986,175,"Lycopodium"
"L175",23,183,179,154,216.151065967333,15.2348760912419,175,"Lycopodium"
"L175",24,185,184,176,223.347029287525,12.4129296911668,175,"Lycopodium"
"L175",25,193,198,195,238.777105552853,6.36191939103794,175,"Lycopodium"
"L175",26,181,199,189,234.138408393282,8.1810163163599,175,"Lycopodium"
"L175",27,183,193,149,225.375242639717,11.6175519059932,175,"Lycopodium"
"L175",28,189,190,176,229.100710644889,10.1565840608279,175,"Lycopodium"
"L175",29,188,192,157,227.622914019098,10.7361121493732,175,"Lycopodium"
"L175",30,187,190,158,225.963599383016,11.3868237713661,175,"Lycopodium"
"L175",31,184,193,152,226.150980088835,11.3133411416332,175,"Lycopodium"
"L175",32,190,197,196,237.065195521108,7.03325665838901,175,"Lycopodium"
"L175",33,191,197,179,235.198205697499,7.76540953039263,175,"Lycopodium"
"L175",34,188,190,165,227.26788228668,10.8753402797334,175,"Lycopodium"
"L175",35,187,188,190,228.77984037787,10.28241553809,175,"Lycopodium"
"L175",36,188,191,167,228.238216334707,10.4948171236442,175,"Lycopodium"
"L175",37,183,191,165,226.07730181639,11.3422345818079,175,"Lycopodium"
"L175",38,189,188,187,229.142088003379,10.1403576457336,175,"Lycopodium"
"L175",39,188,188,198,230.21625964517,9.71911386463906,175,"Lycopodium"
"L175",40,187,192,186,231.075540206344,9.3821410955514,175,"Lycopodium"
"L175",41,184,180,173,219.747046555388,13.8246876253382,175,"Lycopodium"
"L175",42,194,185,182,228.259864013978,10.4863278376556,175,"Lycopodium"
"L175",43,191,195,169,232.464719419626,8.83736493348012,175,"Lycopodium"
"L175",44,188,190,160,226.607200468498,11.1344311888243,175,"Lycopodium"
"L175",45,182,195,168,228.918627832109,10.2279890854476,175,"Lycopodium"
"L175",46,186,196,155,229.424229858427,10.0297137810092,175,"Lycopodium"
"L150",1,198,186,182,217.064336090101,14.8767309450586,150,"Lycopodium"
"L150",2,194,197,202,225.42920933422,11.5963884963843,150,"Lycopodium"
"L150",3,192,202,188,226.221943313108,11.2855124262322,150,"Lycopodium"
"L150",4,205,198,189,228.38722311113,10.4363830936747,150,"Lycopodium"
"L150",5,188,197,182,220.721331975729,13.4426149114787,150,"Lycopodium"
"L150",6,203,200,204,230.899241230987,9.45127794863271,150,"Lycopodium"
"L150",7,197,185,213,219.997784577342,13.7263589892777,150,"Lycopodium"
"L150",8,193,191,194,220.093131389743,13.6889680824537,150,"Lycopodium"
"L150",9,201,203,190,230.373164637187,9.65758249522069,150,"Lycopodium"
"L150",10,200,201,208,230.989707838085,9.41580084780983,150,"Lycopodium"
"L150",11,196,208,198,232.89195993683,8.66981963261574,150,"Lycopodium"
"L150",12,196,195,191,223.427191214363,12.3814936414263,150,"Lycopodium"
"L150",13,198,203,171,226.871725957942,11.0306957027679,150,"Lycopodium"
"L150",14,201,202,207,231.881259350844,9.06617280359073,150,"Lycopodium"
"L150",15,212,208,188,237.371299559471,6.91321585903084,150,"Lycopodium"
"L150",16,191,207,188,229.159323518411,10.1335986202311,150,"Lycopodium"
"L150",17,194,192,188,220.347182902502,13.5893400382346,150,"Lycopodium"
"L150",18,200,209,197,234.862450128834,7.89707838084948,150,"Lycopodium"
"L150",19,202,204,202,232.922216149946,8.65795445100159,150,"Lycopodium"
"L150",20,201,190,200,223.07589591472,12.5192565040313,150,"Lycopodium"
"L150",21,195,209,185,231.534218996758,9.20226706009477,150,"Lycopodium"
"L150",22,190,208,193,230.096582578339,9.76604604771008,150,"Lycopodium"
"L150",23,197,206,192,231.167795590558,9.34596251350678,150,"Lycopodium"
"L150",24,195,210,192,233.086124283102,8.59367675172471,150,"Lycopodium"
"L150",25,203,200,213,232.046741230987,9.00127794863269,150,"Lycopodium"
"L150",26,197,203,201,230.337079731527,9.67173343861691,150,"Lycopodium"
"L150",27,193,203,201,228.898494825866,10.2358843820131,150,"Lycopodium"
"L150",28,186,212,197,231.805618818053,9.09583575762613,150,"Lycopodium"
"L150",29,187,203,176,223.553117467376,12.3321107971075,150,"Lycopodium"
"L150",30,197,203,189,228.807079731527,10.2717334386169,150,"Lycopodium"
"L150",31,194,199,201,226.620519906907,11.1292078796442,150,"Lycopodium"
"L150",32,192,186,172,213.63145873161,16.222957360153,150,"Lycopodium"
"L150",33,193,199,182,223.838373680492,12.2202456154933,150,"Lycopodium"
"L150",34,211,195,210,231.244384610589,9.31592760369045,150,"Lycopodium"
"L150",35,196,204,200,230.509338791455,9.60418086609592,150,"Lycopodium"
"L150",36,198,202,188,228.379820671598,10.4392860111379,150,"Lycopodium"
"L150",37,196,196,181,222.811596500706,12.6229033330563,150,"Lycopodium"
"L150",38,193,190,193,219.3062261034,13.9975583908237,150,"Lycopodium"
"L150",39,195,208,202,233.042313710415,8.61085736846481,150,"Lycopodium"
"L150",40,201,204,212,233.837569923531,8.29899218685064,150,"Lycopodium"
"L150",41,199,202,198,230.014466898013,9.79824827528884,150,"Lycopodium"
"L150",42,207,206,217,237.951757854709,6.68558515501621,150,"Lycopodium"
"L150",43,188,191,189,217.657400257668,14.644156761699,150,"Lycopodium"
"L150",44,189,194,180,218.847762343114,14.1773481007398,150,"Lycopodium"
"L150",45,188,198,182,221.380737262073,13.1840246031086,150,"Lycopodium"
"L not heated",1,189,205,191,239.376170925949,6.12699179374516,0,"Lycopodium"
"L not heated",2,198,194,214,237.961572596278,6.68173623675367,0,"Lycopodium"
"L not heated",3,201,211,213,250.93156282308,1.59546555957612,0,"Lycopodium"
"L not heated",4,193,199,199,237.66797080964,6.79687419229775,0,"Lycopodium"
"L not heated",5,196,209,208,247.022929051434,3.12826311708451,0,"Lycopodium"
"L not heated",6,201,201,187,240.419716738821,5.71775814163868,0,"Lycopodium"
"L not heated",7,197,202,204,241.916103402041,5.13093984233651,0,"Lycopodium"
"L not heated",8,194,204,199,241.564839913414,5.26869023003359,0,"Lycopodium"
"L not heated",9,190,202,193,237.89002891574,6.70979258206254,0,"Lycopodium"
"L not heated",10,187,198,188,233.302397502584,8.50886372447661,0,"Lycopodium"
"L not heated",11,194,204,194,240.901141283277,5.52896420263634,0,"Lycopodium"
"L not heated",12,194,208,208,245.583742730679,3.69264990953736,0,"Lycopodium"
"L not heated",13,207,200,212,245.231523568751,3.83077507107779,0,"Lycopodium"
"L not heated",14,194,201,196,239.048436773067,6.25551499095374,0,"Lycopodium"
"L not heated",15,198,197,205,238.885099024295,6.31956901008013,0,"Lycopodium"
"L not heated",16,205,199,207,243.128638617859,4.65543583613336,0,"Lycopodium"
"L not heated",17,197,187,200,230.794224686611,9.49246090721118,0,"Lycopodium"
"L not heated",18,200,204,194,243.100516283277,4.66646420263634,0,"Lycopodium"
"L not heated",19,186,199,172,231.518060706901,9.20860364435255,0,"Lycopodium"
"L not heated",20,199,195,219,239.697895047169,6.00082547169813,0,"Lycopodium"
"L not heated",21,202,200,212,243.398711068751,4.5495250710778,0,"Lycopodium"
"L not heated",22,200,207,214,247.873494766089,2.79470793486689,0,"Lycopodium"
"L not heated",23,197,210,201,247.166374789997,3.07200988627553,0,"Lycopodium"
"L not heated",24,200,205,195,243.939317330059,4.33752261566296,0,"Lycopodium"
"L not heated",25,199,202,210,243.445666758206,4.53111107521323,0,"Lycopodium"
"L not heated",26,201,205,211,246.429715446497,3.36089590333418,0,"Lycopodium"
"L not heated",27,202,194,224,240.755219856552,5.58618829154819,0,"Lycopodium"
"L not heated",28,195,201,196,239.414999273067,6.11176499095374,0,"Lycopodium"
"L not heated",29,208,201,199,244.57853095115,4.08685060739209,0,"Lycopodium"
"L not heated",30,204,197,211,241.88091238046,5.14474024295684,0,"Lycopodium"
"L not heated",31,203,202,234,248.097670182863,2.70679600672008,0,"Lycopodium"
"L not heated",32,197,208,210,246.948909682734,3.15729032049625,0,"Lycopodium"
"L not heated",33,189,201,206,238.543021533341,6.45371704574826,0,"Lycopodium"
"L not heated",34,200,203,210,244.51829057896,4.1104742827604,0,"Lycopodium"
"L not heated",35,202,202,216,245.34179261437,3.78753230808995,0,"Lycopodium"
"L not heated",36,197,201,207,241.608261259369,5.25166225122771,0,"Lycopodium"
"L not heated",37,191,209,206,244.924637099379,3.95112270612563,0,"Lycopodium"
"L not heated",38,201,194,198,236.937424479839,7.08336294908245,0,"Lycopodium"
"L not heated",39,196,196,193,235.853035991212,7.50861333677953,0,"Lycopodium"
"L not heated",40,196,199,199,238.76765830964,6.36562419229775,0,"Lycopodium"
"L not heated",41,192,197,192,234.960107585939,7.85878133884725,0,"Lycopodium"
"L not heated",42,193,191,187,230.426603531274,9.63662606616696,0,"Lycopodium"
"L not heated",43,204,201,189,241.784883690876,5.18239855259759,0,"Lycopodium"
"L not heated",44,183,207,184,237.659740485267,6.80010177048333,0,"Lycopodium"
"L not heated",45,190,206,200,241.643452280951,5.2378618506074,0,"Lycopodium"
"L not heated",46,193,197,199,236.255848168131,7.35064777720342,0,"Lycopodium"
"L not heated",47,188,191,183,228.062832127164,10.5635952442491,0,"Lycopodium"
"L not heated",48,187,204,206,239.928080495606,5.91055666838977,0,"Lycopodium"
"L not heated",49,198,201,187,239.320029238821,6.14900814163867,0,"Lycopodium"
